,人物ID,著者名,作品ID,作品名,仮名遣い種別,翻訳者名等,入力者名,校正者名,状態,状態の開始日,底本名,出版社名,入力に使用した版,校正に使用した版
371,879,芥川 竜之介,98,蜜柑,新字旧仮名,,j.utiyama,野口英司,公開,1998-03-16,現代日本文学大系　43　芥川龍之介集,筑摩書房,1968（昭和43）年8月25日初版第1刷,
372,879,芥川 竜之介,24453,蜜柑,旧字旧仮名,,高柳典子,岡山勝美,公開,2012-03-21,現代日本文學全集　第三十篇　芥川龍之介集,改造社,1928（昭和3）年1月9日,1928（昭和3）年1月9日　
373,879,芥川 竜之介,43017,蜜柑,新字新仮名,,蒋龍,noriko saito,公開,2005-02-08,蜘蛛の糸・杜子春,新潮文庫、新潮社,1989（平成元）年5月30日46刷,2004（平成16）年6月5日67刷
390,879,芥川 竜之介,179,藪の中,新字新仮名,,野口英司、平山誠,もりみつじゅんじ,公開,1997-11-10,芥川龍之介全集4,ちくま文庫、筑摩書房,1996（平成8）年7月15日第8刷,1996（平成8）年7月15日第8刷
391,879,芥川 竜之介,24454,藪の中,旧字旧仮名,,高柳典子,岡山勝美,公開,2012-03-25,現代日本文學全集　第三〇篇　芥川龍之介集,改造社,1928（昭和3）年1月9日,1928（昭和3）年1月9日　
398,879,芥川 竜之介,186,夢,新字新仮名,,j.utiyama,もりみつじゅんじ,公開,1999-03-01,芥川龍之介全集6,ちくま文庫、筑摩書房,1993（平成5）年2月25日第6刷,
399,879,芥川 竜之介,4308,夢,新字旧仮名,,もりみつじゅんじ,林幸雄,公開,2002-01-26,芥川龍之介全集　第十三巻,岩波書店,,
405,879,芥川 竜之介,128,羅生門,旧字旧仮名,,j.utiyama,野口英司、もりみつじゅんじ,公開,1999-06-09,新選　名著復刻全集　近代文学館　芥川龍之介著　羅生門　阿蘭陀書房版,ほるぷ出版,,
406,879,芥川 竜之介,127,羅生門,新字新仮名,,野口英司、平山誠,もりみつじゅんじ,公開,1997-10-29,芥川龍之介全集1,ちくま文庫、筑摩書房,1997（平成9）年4月15日第14刷,
558,19,アンデルセン ハンス・クリスチャン,194,マッチ売りの少女,新字新仮名,大久保 ゆう,大久保ゆう,,公開,1999-12-29,,,,
559,19,アンデルセン ハンス・クリスチャン,60191,マッチ売りの少女,新字新仮名,矢崎 源九郎,チエコ,木下聡,公開,2021-04-02,マッチ売りの少女　（アンデルセン童話集Ⅲ）,新潮文庫、新潮社,1992（平成4）年4月5日34刷,2009（平成21）年11月30日42刷
560,19,アンデルセン ハンス・クリスチャン,2247,マッチ売りの少女,新字新仮名,結城 浩,結城浩,,公開,2000-11-02,,,,
640,1380,石川 欣一,49593,可愛い山,新字新仮名,,川山隆,門田裕志,公開,2010-01-01,山の旅　大正・昭和篇,岩波文庫、岩波書店,2007（平成19）年8月6日第5刷,2007（平成19）年8月6日第5刷
641,1380,石川 欣一,57354,可愛い山,新字新仮名,,富田晶子,雪森,公開,2016-03-17,可愛い山,白水社,1987（昭和62）年6月15日,1987（昭和62）年6月15日
659,153,石川 啄木,4698,足跡,旧字旧仮名,,Nana ohbe,林幸雄,公開,2003-11-11,石川啄木作品集　第三巻,昭和出版社,1970（昭和45）年11月20日発行,1960（昭和35）年3月10日発行
660,153,石川 啄木,45460,足跡,新字旧仮名,,Nana ohbe,川山隆,公開,2008-11-07,石川啄木全集　第三巻　小説,筑摩書房,1993（平成5）年5月20日初版第7刷,1993（平成5年）年5月20日初版第7刷
678,153,石川 啄木,4100,菊池君,旧字旧仮名,,Nana ohbe,松永正敏,公開,2003-03-30,石川啄木作品集　第二巻,昭和出版社,1970（昭和45）年11月20日発行,1972（昭和47）年6月20日発行
679,153,石川 啄木,45461,菊池君,新字旧仮名,,Nana ohbe,川山隆,公開,2008-11-07,石川啄木全集　第三巻　小説,筑摩書房,1993（平成5）年5月20日初版第7刷,1993（平成5年）年5月20日初版第7刷
680,153,石川 啄木,4097,雲は天才である,旧字旧仮名,,Nana ohbe,松永正敏,公開,2003-03-26,石川啄木作品集　第二巻,昭和出版社,1970（昭和45）年11月20日発行,1972（昭和47）年6月20日発行
681,153,石川 啄木,45462,雲は天才である,新字旧仮名,,Nana ohbe,林幸雄,公開,2008-08-20,石川啄木全集　第三巻　小説,筑摩書房,1993（平成5）年5月20日初版第7刷,1986（昭和61）年12月15日初版第6刷
686,153,石川 啄木,45463,札幌,新字旧仮名,,Nana ohbe,川山隆,公開,2008-07-30,石川啄木全集　第三巻　小説,筑摩書房,1993（平成5）年5月20日初版第7刷,1993（平成5）年5月20日初版第7刷
687,153,石川 啄木,4696,札幌,旧字旧仮名,,Nana ohbe,林幸雄,公開,2003-11-08,石川啄木作品集　第三巻,昭和出版社,1970（昭和45）年11月20日発行,1960（昭和35）年3月10日発行
696,153,石川 啄木,4697,赤痢,旧字旧仮名,,Nana ohbe,林幸雄,公開,2003-11-10,石川啄木作品集　第三巻,昭和出版社,1970（昭和45）年11月20日発行,1960（昭和35）年3月10日発行
697,153,石川 啄木,45464,赤痢,新字旧仮名,,Nana ohbe,川山隆,公開,2008-11-07,石川啄木全集　第三巻　小説,筑摩書房,1993（平成5）年5月20日初版第7刷,1993（平成5年）年5月20日初版第7刷
700,153,石川 啄木,4098,葬列,旧字旧仮名,,Nana ohbe,松永正敏,公開,2003-04-04,石川啄木作品集　第二巻,昭和出版社,1970（昭和45）年11月20日発行,1972（昭和47）年6月20日発行
701,153,石川 啄木,45465,葬列,新字旧仮名,,Nana ohbe,川山隆,公開,2008-11-11,石川啄木全集　第三巻　小説,筑摩書房,1993（平成5）年5月20日初版第7刷,1993（平成5）年5月20日初版第7刷
705,153,石川 啄木,4695,鳥影,旧字旧仮名,,Nana ohbe,林幸雄,公開,2007-02-25,石川啄木作品集　第三巻,昭和出版社,1970（昭和45）年11月20日,　
706,153,石川 啄木,46947,鳥影,新字旧仮名,,Nana ohbe,川山隆,公開,2008-11-11,石川啄木全集　第三巻　小説,筑摩書房,1993（平成5）年5月20日初版第7刷,1993（平成5）年5月20日初版第7刷
712,153,石川 啄木,4104,葉書,旧字旧仮名,,Nana ohbe,松永正敏,公開,2003-04-12,石川啄木作品集　第二巻,昭和出版社,1970（昭和45）年11月20日発行,1972（昭和47）年6月20日発行
713,153,石川 啄木,45466,葉書,新字旧仮名,,Nana ohbe,川山隆,公開,2008-07-30,石川啄木全集　第三巻　小説,筑摩書房,1993（平成5）年5月20日初版第7刷,1993（平成5）年5月20日初版第7刷
715,153,石川 啄木,4101,病院の窓,旧字旧仮名,,Nana ohbe,松永正敏,公開,2003-04-12,石川啄木作品集　第二巻,昭和出版社,1970（昭和45）年11月20日発行,1972（昭和47）年6月20日発行
716,153,石川 啄木,45468,病院の窓,新字旧仮名,,Nana ohbe,川山隆,公開,2008-11-11,石川啄木全集　第三巻　小説,筑摩書房,1993（平成5）年5月20日初版第7刷,1993（平成5）年5月20日初版第7刷
718,153,石川 啄木,4099,漂泊,旧字旧仮名,,Nana ohbe,松永正敏,公開,2003-04-07,石川啄木作品集　第二巻,昭和出版社,1970（昭和45）年11月20日発行,1972（昭和47）年6月20日発行
719,153,石川 啄木,45467,漂泊,新字旧仮名,,Nana ohbe,林幸雄,公開,2008-08-20,石川啄木全集　第三巻　小説,筑摩書房,1993（平成5）年5月20日初版第7刷,1986（昭和61）年12月15日初版第6刷
720,153,石川 啄木,45469,天鵞絨,新字旧仮名,,Nana ohbe,川山隆,公開,2008-11-11,石川啄木全集　第三巻　小説,筑摩書房,1993（平成5）年5月20日初版第7刷,1993（平成5年）年5月20日初版第7刷
721,153,石川 啄木,4103,天鵞絨,旧字旧仮名,,Nana ohbe,松永正敏,公開,2003-04-04,石川啄木作品集　第二巻,昭和出版社,1970（昭和45）年11月20日発行,1972（昭和47）年6月20日発行
723,153,石川 啄木,45470,二筋の血,新字旧仮名,,Nana ohbe,川山隆,公開,2008-07-30,石川啄木全集　第三巻　小説,筑摩書房,1993（平成5）年5月20日初版第7刷,1993（平成5）年5月20日初版第7刷
724,153,石川 啄木,4102,二筋の血,旧字旧仮名,,Nana ohbe,松永正敏,公開,2003-04-07,石川啄木作品集　第二巻,昭和出版社,1970(昭和45)年11月20日発行,1972（昭和47）年6月20日発行
730,153,石川 啄木,49679,弓町より,新字旧仮名,,林幸雄,noriko saito,公開,2011-02-06,石川啄木全集　第四巻　評論・感想,筑摩書房,1982（昭和57）年11月30日初版第3刷,1988（昭和63）年2月1日初版第5刷
731,153,石川 啄木,818,弓町より,新字新仮名,,j.utiyama,八巻美恵,公開,1998-11-11,日本文学全集　12　国木田独歩　石川啄木集,集英社,1972（昭和47）年9月10日第9版,1972（昭和47）年10月7日
814,50,泉 鏡花,57475,海城発電,新字新仮名,,日根敏晶,門田裕志,公開,2016-09-01,泉鏡花集成2,ちくま文庫、筑摩書房,1996（平成8）年4月24日第1刷,1996（平成8）年4月24日第1刷
815,50,泉 鏡花,4557,海城発電,新字旧仮名,,門田裕志,鈴木厚司,公開,2003-09-09,外科室・海城発電,岩波文庫、岩波書店,2000（平成12）年9月5日第18刷,1993（平成5）年11月5日第9刷
852,50,泉 鏡花,4997,化鳥,新字新仮名,,門田裕志,カエ,公開,2003-09-11,泉鏡花集成3,ちくま文庫、筑摩書房,1996（平成8）年1月24日第1刷, 
853,50,泉 鏡花,4560,化鳥,新字旧仮名,,土屋隆,門田裕志,公開,2003-05-29,短篇小説名作選,現代企画室,1984（昭和59）年3月15日第2刷,1984（昭和59）年3月15日第2刷
855,50,泉 鏡花,48403,紅玉,新字旧仮名,,門田裕志,川山隆,公開,2009-05-27,日本幻想文学集成1　泉鏡花,国書刊行会,1995（平成7）年10月9日初版第5刷,1991（平成3）年3月25日初版第1刷
856,50,泉 鏡花,3423,紅玉,新字新仮名,,門田裕志,今井忠夫,公開,2003-09-08,泉鏡花集成7,ちくま文庫、筑摩書房,1995（平成7）年12月4日第1刷,
857,50,泉 鏡花,43466,高野聖,新字旧仮名,,砂場清隆,門田裕志,公開,2007-03-18,新編　泉鏡花集　第八巻,岩波書店,2004（平成16）年1月7日第1刷,2004（平成16）年1月7日第1刷
858,50,泉 鏡花,521,高野聖,新字新仮名,,真先芳秋,林めぐみ,公開,1999-01-30,ちくま日本文学全集　泉鏡花,筑摩書房,,1995（平成7）年8月15日第2刷
865,50,泉 鏡花,57477,三尺角,新字新仮名,,日根敏晶,門田裕志,公開,2016-07-01,化鳥・三尺角　他六篇,岩波文庫、岩波書店,2015（平成27）年5月15日第2刷,2013（平成25）年11月15日第1刷
866,50,泉 鏡花,4739,三尺角,旧字旧仮名,,門田裕志,小林繁雄,公開,2003-11-23,鏡花全集　第四巻,岩波書店,1986（昭和61）年12月3日第3刷,1986（昭和61）年12月3日第3刷
892,50,泉 鏡花,43224,雪霊記事,新字新仮名,,門田裕志,土屋隆,公開,2005-11-23,泉鏡花集成7,ちくま文庫、筑摩書房,1995（平成7）年12月4日第1刷,2003（平成15）年5月15日第2刷
893,50,泉 鏡花,1184,雪霊記事,旧字旧仮名,,土屋隆,門田裕志,公開,2005-11-23,鏡花全集　卷二十一,岩波書店,1975（昭和50）年7月2日第2刷,1988（昭和63）年5月2日第3刷
894,50,泉 鏡花,43225,雪霊続記,新字新仮名,,門田裕志,土屋隆,公開,2005-11-24,泉鏡花集成7,ちくま文庫、筑摩書房,1995（平成7）年12月4日第1刷,2003（平成15）年5月15日第2刷
895,50,泉 鏡花,1185,雪霊続記,旧字旧仮名,,土屋隆,門田裕志,公開,2005-11-24,鏡花全集　卷二十一,岩波書店,1975（昭和50）年7月2日第2刷,1988（昭和63）年5月2日第3刷
927,50,泉 鏡花,48411,伯爵の釵,新字旧仮名,,門田裕志,川山隆,公開,2009-05-31,日本幻想文学集成1　泉鏡花,国書刊行会,1995（平成7）年10月9日初版第5刷,1991（平成3）年3月25日初版第1刷
928,50,泉 鏡花,3542,伯爵の釵,新字新仮名,,門田裕志,今井忠夫,公開,2003-09-11,泉鏡花集成7,ちくま文庫、筑摩書房,1995（平成7）年12月4日第1刷,
947,50,泉 鏡花,4741,星あかり,旧字旧仮名,,門田裕志,鈴木厚司,公開,2003-06-02,鏡花全集　巻四,岩波書店,1986（昭和61）年12月3日第3刷,
948,50,泉 鏡花,1188,星あかり,新字新仮名,,土屋隆,門田裕志,公開,2006-04-04,書物の王国11　分身,国書刊行会,1999（平成11）年1月22日初版第1刷,1999（平成11）年1月22日初版第1刷
980,50,泉 鏡花,46566,夜釣,新字旧仮名,,門田裕志,土屋隆,公開,2006-12-19,集成　日本の釣り文学　第九巻　釣り話　魚話,作品社,1996（平成8）年10月10日第1刷,1996（平成8）年10月10日第1刷　
981,50,泉 鏡花,4575,夜釣,旧字旧仮名,,門田裕志,土屋隆,公開,2006-12-19,鏡花全集　巻十四,岩波書店,1987（昭和62）年10月2日第3刷,1974（昭和49）年12月2日第2刷　
983,50,泉 鏡花,57471,竜潭譚,新字新仮名,,日根敏晶,門田裕志,公開,2016-11-04,泉鏡花集成3,ちくま文庫、筑摩書房,1996（平成8）年1月24日第1刷,1996（平成8）年1月24日第1刷
984,50,泉 鏡花,1091,竜潭譚,新字旧仮名,,砂場清隆,松永正敏,公開,2000-08-30,鏡花短篇集,岩波文庫、岩波書店,1987（昭和62）年9月16日第1刷,
1088,58,伊藤 左千夫,1036,水害雑録,新字新仮名,,大野晋,松永正敏,公開,2000-10-23,野菊の墓,角川文庫、角川書店,,
1089,58,伊藤 左千夫,4396,水害雑録,旧字旧仮名,,米田進,松永正敏,公開,2002-04-01,左千夫全集　第三巻,岩波書店,,
1097,58,伊藤 左千夫,625,奈々子,新字新仮名,,大野晋,大西敦子,公開,2000-06-02,野菊の墓,集英社文庫、集英社,1981（昭和56）年6月15日第4刷,
1098,58,伊藤 左千夫,4397,奈々子,旧字旧仮名,,米田進,松永正敏,公開,2002-04-01,左千夫全集　第三卷,岩波書店,,
1110,58,伊藤 左千夫,51306,八幡の森,旧字旧仮名,,Ｈ．ＹＡＭ,高瀬竜一,公開,2013-10-05,左千夫全集　第二卷,岩波書店,1976（昭和51）年11月25日,1976（昭和51）年11月25日
1111,58,伊藤 左千夫,57970,八幡の森,新字新仮名,,高瀬竜一,岡村和彦,公開,2019-04-03,左千夫全集　第二卷,岩波書店,1976（昭和51）年11月25日,1976（昭和51）年11月25日
1203,416,伊藤 野枝,47409,惑ひ,新字旧仮名,,門田裕志,Juki,公開,2013-10-17,定本　伊藤野枝全集　第一巻　創作,學藝書林,2000（平成12）年3月15日初版,2000（平成12）年3月15日初版
1204,416,伊藤 野枝,47408,惑ひ,新字旧仮名,,門田裕志,Juki,公開,2013-06-27,定本　伊藤野枝全集　第一巻　創作,學藝書林,2000（平成12）年3月15日初版,2000（平成12）年3月15日初版
1351,235,上田 敏,51172,海潮音,旧字旧仮名,上田 敏,阿部哲也,川山隆,公開,2011-02-20,上田敏全訳詩集,岩波書店,1979（昭和54）年10月10日第19刷,1990（平成2）年 5月15日第27刷
1352,235,上田 敏,51172,海潮音,旧字旧仮名,上田 敏,阿部哲也,川山隆,公開,2011-02-20,上田敏全訳詩集,岩波書店,1979（昭和54）年10月10日第19刷,1990（平成2）年 5月15日第27刷
1353,235,上田 敏,2259,海潮音,新字旧仮名,上田 敏,山口美佐,Juki,公開,1999-07-01,海潮音　上田敏訳詩集,新潮文庫、新潮社,1977（昭和52）年6月30日第35刷,1988（昭和63）年10月5日第48刷
1354,235,上田 敏,2259,海潮音,新字旧仮名,上田 敏,山口美佐,Juki,公開,1999-07-01,海潮音　上田敏訳詩集,新潮文庫、新潮社,1977（昭和52）年6月30日第35刷,1988（昭和63）年10月5日第48刷
1378,235,上田 敏,51173,牧羊神,旧字旧仮名,上田 敏,阿部哲也,川山隆,公開,2011-02-20,明治文學全集　31　上田敏集,筑摩書房,1983（昭和58）年10月1日初版第4刷,1983（昭和58）年10月1日初版第4刷
1379,235,上田 敏,51173,牧羊神,旧字旧仮名,上田 敏,阿部哲也,川山隆,公開,2011-02-20,明治文學全集　31　上田敏集,筑摩書房,1983（昭和58）年10月1日初版第4刷,1983（昭和58）年10月1日初版第4刷
1754,1779,江戸川 乱歩,57227,かいじん二十めんそう,新字新仮名,,sogo,北川松生,公開,2016-05-31,江戸川乱歩全集　第21巻　ふしぎな人,光文社文庫、光文社,2005（平成17）年3月20日初版1刷,2005（平成17）年3月20日初版1刷
1755,1779,江戸川 乱歩,57226,かいじん二十めんそう,新字新仮名,,sogo,北川松生,公開,2016-06-09,江戸川乱歩全集　第21巻　ふしぎな人,光文社文庫、光文社,2005（平成17）年3月20日初版1刷,2005（平成17）年3月20日初版1刷
2050,169,大杉 栄,50263,革命の研究,旧字旧仮名,大杉 栄,クロポトキン・プロジェクト,浜坂邦彦,公開,2014-08-07,革命の研究,コスモス書店,1946（昭和21）年4月20日,　
2051,169,大杉 栄,50507,革命の研究,新字新仮名,大杉 栄,クロポトキン・プロジェクト,岩澤秀紀,公開,2013-03-26,大杉栄・伊藤野枝選集第一巻　クロポトキン研究,黒色戦線社,1986（昭和61）年6月1日,1986（昭和61）年6月1日
2179,1474,丘 浅次郎,57164,理科教育の根底,新字旧仮名,,矢野重藤,hitsuji,公開,2020-12-31,近代日本思想大系　9　丘浅次郎集,筑摩書房,1974（昭和49）年9月20日初版1刷 ,1974（昭和49）年9月20日初版第1刷
2180,1474,丘 浅次郎,53871,理科教育の根底,新字新仮名,,川山隆,雪森,公開,2015-11-22,現代日本思想大系　26　科学の思想Ⅱ,筑摩書房,1964（昭和39）年4月15日,1964（昭和39）年4月15日
2214,76,岡本 かの子,58305,愛,新字新仮名,,門田裕志,noriko saito,公開,2020-03-01,岡本かの子全集5,ちくま文庫、筑摩書房,1993（平成5）年8月24日第1刷,1993（平成5）年8月24日第1刷
2215,76,岡本 かの子,4996,愛,新字旧仮名,,門田裕志,湯地光弘,公開,2004-05-12,日本幻想文学集成10　岡本かの子,国書刊行会,1992（平成4）年1月23日第1刷,1992（平成4）年1月23日第1刷
2220,76,岡本 かの子,58399,汗,新字新仮名,,門田裕志,いとうおちゃ,公開,2020-02-18,岡本かの子全集1,ちくま文庫、筑摩書房,1994（平成6）年1月24日第1刷,1994（平成6）年1月24日第1刷
2221,76,岡本 かの子,4182,汗,新字旧仮名,,門田裕志,湯地光弘,公開,2004-07-16,日本幻想文学集成10　岡本かの子,国書刊行会,1992（平成4）年1月23日第1刷,1992（平成4）年1月23日第1刷
2265,76,岡本 かの子,58299,蝙蝠,新字新仮名,,門田裕志,noriko saito,公開,2021-02-18,岡本かの子全集5,ちくま文庫、筑摩書房,1993（平成5）年8月24日第1刷,1993（平成5）年8月24日第1刷
2266,76,岡本 かの子,4178,蝙蝠,新字旧仮名,,門田裕志,湯地光弘,公開,2005-03-24,日本幻想文学集成10　岡本かの子,国書刊行会,1992（平成4）年1月23日初版第1刷,1992（平成4）年1月23日初版第1刷
2267,76,岡本 かの子,58421,五月の朝の花,新字新仮名,,門田裕志,noriko saito,公開,2018-05-09,岡本かの子全集12,ちくま文庫、筑摩書房,1994（平成6）年7月21日第1刷,1994（平成6）年7月21日第1刷
2268,76,岡本 かの子,436,五月の朝の花,新字新仮名,,渡邉つよし,菅野朋子,公開,2000-06-03,日本の名随筆1　花,作品社,1991（平成3）年9月20日第19刷,
2309,76,岡本 かの子,58435,巴里のむす子へ,新字新仮名,,門田裕志,noriko saito,公開,2019-01-07,岡本かの子全集12,ちくま文庫、筑摩書房,1994（平成6）年7月21日第1刷,1994（平成6）年7月21日第1刷
2310,76,岡本 かの子,4549,巴里のむす子へ,新字新仮名,,門田裕志,土屋隆,公開,2004-04-27,愛よ、愛,パサージュ叢書、メタローグ,1999（平成11）年5月8日第1刷,1999（平成11）年5月8日第1刷
2324,76,岡本 かの子,58428,みちのく,新字新仮名,,門田裕志,noriko saito,公開,2020-10-24,岡本かの子全集5,ちくま文庫、筑摩書房,1993（平成5）年8月24日第1刷,1993（平成5）年8月24日第1刷
2325,76,岡本 かの子,444,みちのく,新字新仮名,,さぶ,しず,公開,1999-03-20,ちくま日本文学全集　岡本かの子,筑摩書房,1992（平成4）年2月20日第1刷,
2331,76,岡本 かの子,58429,雪の日,新字新仮名,,門田裕志,noriko saito,公開,2018-03-01,岡本かの子全集11,ちくま文庫、筑摩書房,1994（平成6）年6月23日第1刷,1994（平成6）年6月23日第1刷
2332,76,岡本 かの子,43089,雪の日,新字新仮名,,門田裕志,田中敬三,公開,2006-05-02,世界紀行文学全集　第七巻　ドイツ編,修道社,1959（昭和34）年8月20日,1959（昭和34）年8月20日
2336,76,岡本 かの子,58431,老妓抄,新字新仮名,,門田裕志,noriko saito,公開,2020-02-18,岡本かの子全集5,ちくま文庫、筑摩書房,1993（平成5）年8月24日第1刷,1993（平成5）年8月24日第1刷
2337,76,岡本 かの子,447,老妓抄,新字新仮名,,佐藤律子,大野晋,公開,1999-05-05,老妓抄,新潮文庫、新潮社,1998（平成10）年1月15日第52刷,
2388,82,岡本 綺堂,1313,魚妖,新字旧仮名,,土屋隆,門田裕志,公開,2006-04-05,日本の名随筆　別巻64　怪談,作品社,1996（平成8）年6月25日第1刷,1996（平成8）年6月25日第1刷
2389,82,岡本 綺堂,45496,魚妖,新字新仮名,,小林繁雄、門田裕志,松永正敏,公開,2006-07-04,鎧櫃の血,光文社文庫、光文社,1988（昭和63）年5月30日2刷,1988（昭和63）年5月20日初版1刷
2410,82,岡本 綺堂,1312,修禅寺物語,新字新仮名,,土屋隆,小林繁雄,公開,2006-05-30,日本の文学　77　名作集（一）,中央公論社,1970（昭和45）年7月5日初版,1970（昭和45）年7月5日初版
2411,82,岡本 綺堂,45457,修禅寺物語,旧字旧仮名,,土屋隆,川山隆,公開,2008-05-06,日本現代文學全集34　岡本綺堂・小山内薫・眞山青果集,講談社,1968（昭和43）年6月19日,1980（昭和55）年5月26日増補改訂版第1刷
2482,82,岡本 綺堂,1293,半七捕物帳 01 お文の魂,新字新仮名,,A.Morimine,原田頌子,公開,2001-04-13,時代推理小説　半七捕物帳（一）,光文社文庫、光文社,1997（平成9）年3月25日20刷,
2483,82,岡本 綺堂,1005,半七捕物帳 01 お文の魂,旧字旧仮名,,小山純一,浜野智,公開,1998-07-09,定本・半七捕物帳　第1巻,同光社,,
2553,82,岡本 綺堂,1309,番町皿屋敷,新字旧仮名,,和井府清十郎,小林繁雄,公開,2001-04-20,現代日本文學全集　56　小杉天外　小栗風葉　岡本綺堂　眞山青果集,筑摩書房,,1957（昭和32）年6月10日初版
2554,82,岡本 綺堂,45617,番町皿屋敷,新字新仮名,,Hiroshi_O,門田裕志,公開,2012-07-18,怪奇・伝奇時代小説選集13　四谷怪談　他８編,春陽文庫、春陽堂書店,2000（平成12）年10月20日第1刷,2000（平成12）年10月20日第1刷
2626,1475,小川 未明,55054,新しい町,新字新仮名,,特定非営利活動法人はるかぜ,へくしん,公開,2021-02-21,定本小川未明童話全集　4,講談社,1977（昭和52）年C第2刷,1977（昭和52）年C第2刷
2627,1475,小川 未明,51499,新しい町,新字新仮名,,特定非営利活動法人はるかぜ,酒井裕二,公開,2018-09-04,定本小川未明童話全集　13,講談社,1983（昭和58）年1月19日第5刷,1977（昭和52）年11月10日第1刷
2693,1475,小川 未明,51114,お母さん,新字新仮名,,ぷろぼの青空工作員チーム入力班,江村秀之,公開,2013-12-21,定本小川未明童話全集　3,講談社,1981（昭和56）年1月6日第7刷,1977（昭和52）年1月10日第1刷
2694,1475,小川 未明,51509,お母さん,新字新仮名,,特定非営利活動法人はるかぜ,酒井裕二,公開,2016-10-24,定本小川未明童話全集　12,講談社,1982（昭和57）年9月10日第5刷,1977（昭和52）年10月10日第1刷
